profession-capability-framework-job-family	name	start-date	end-date
101	Business analyst		
102	Delivery manager		
103	Programme delivery manager		
104	Product and delivery: service owner		
105	Product manager		
106	Technical architect		
107	Specialist technical architect		
108	Network architect		
109	Data architect		
110	Security architect		
111	Software developer		
112	Development operations		
113	Infrastructure engineer		
114	Specialist infrastructure engineer		
115	Business relationship manager		
116	Engineer - application operations		
117	Engineer - end user computing		
118	Engineer - infrastructure operations		
119	IT service manager		
120	Incident manager		
121	Problem manager		
122	Command and control centre manager		
123	Service desk manager		
124	Change and release manager		
125	Service transition manager		
126	Test manager		
127	QAT analyst		
128	Test engineer		
129	Data engineer		
130	Data scientist		
131	Performance analyst		
132	Content designer		
133	Content strategist		
134	Technical writer		
135	Graphic designer		
136	Interaction designer		
137	Service designer		
138	User researcher		