profession-capability-framework-job-title	name	start-date	end-date
1104	Apprentice developer		
1113	Apprentice DevOps		
1024	Associate content designer		
1006	Associate delivery manager		
1150	Associate engineer - application operations		
1151	Associate engineer - end user computing		
1152	Associate engineer - infrastructure operations		
1033	Associate graphic designer		
1153	Associate infrastructure engineer		
1039	Associate interaction designer		
1121	Associate network architect		
1126	Associate performance analyst		
1018	Associate product manager		
1045	Associate service designer		
1118	Associate technical architect		
1054	Associate user researcher		
1011	Business analyst		
1060	Business relationship manager		
1090	Change and release analyst		
1089	Change and release manager		
1131	Chief data architect		
1091	Configuration analyst		
1022	Content designer		
1025	Content strategist		
1133	Data architect		
1137	Data engineer		
1055	Data scientist		
1005	Delivery manager		
1101	Developer		
1111	DevOps		
1062	Engineer - application operations		
1068	Engineer - end user computing		
1072	Engineer - infrastructure operations		
1031	Graphic designer		
1003	Head of (agile) delivery management		
1081	Head of command and control		
1019	Head of content design		
1134	Head of data engineering		
1138	Head of data science		
1028	Head of graphic design		
1034	Head of interaction design		
1073	Head of IT service management		
1122	Head of performance analysis		
1014	Head of product		
1040	Head of service design		
1085	Head of service desk		
1140	Head of test		
1049	Head of user research		
1077	Incident manager		
1130	Infrastructure engineer		
1037	Interaction design		
1076	IT service analyst		
1075	IT service manager		
1012	Junior business analyst		
1023	Junior content designer		
1056	Junior data scientist		
1103	Junior developer		
1112	Junior DevOps		
1032	Junior graphic designer		
1038	Junior interaction designer		
1044	Junior service designer		
1053	Junior user researcher		
1058	Lead business relationship manager		
1020	Lead content designer		
1135	Lead data engineer		
1098	Lead developer		
1099	Lead developer (management)		
1107	Lead DevOps		
1108	Lead DevOps (management)		
1063	Lead engineer - application operations		
1066	Lead engineer - end user computing		
1070	Lead engineer - infrastructure operations		
1029	Lead graphic designer		
1128	Lead infrastructure engineer		
1035	Lead interaction designer		
1119	Lead network architect		
1123	Lead performance analyst		
1015	Lead product manager		
1142	Lead QAT analyst		
1047	Lead security architect		
1041	Lead service design		
1092	Lead service transition manager		
1115	Lead technical architect		
1026	Lead technical writer		
1146	Lead test engineer		
1050	Lead user research		
1078	Major incident manager		
1120	Network architect		
1082	Operational control manager		
1084	Operations analyst		
1125	Performance analyst		
1009	Principal business analyst		
1008	Principal business analyst (management)		
1096	Principal developer		
1097	Principal developer (management)		
1105	Principal DevOps		
1106	Principal DevOps (management)		
1061	Principal engineer - application operations		
1065	Principal engineer - end user computing		
1069	Principal engineer - infrastructure operations		
1127	Principal infrastructure engineer		
1046	Principal security architect		
1114	Principal technical architect		
1080	Problem analyst		
1079	Problem manager		
1017	Product manager		
1007	Programme delivery manager		
1144	QAT analyst		
1048	Security architect		
1010	Senior business analyst		
1059	Senior business relationship manager		
1021	Senior content designer		
1132	Senior data architect		
1136	Senior data engineer		
1139	Senior data scientist		
1004	Senior delivery manager		
1100	Senior developer		
1102	Senior developer (management)		
1109	Senior DevOps		
1110	Senior DevOps (management)		
1064	Senior engineer - application operations		
1067	Senior engineer - end user computing		
1071	Senior engineer - infrastructure operations		
1030	Senior graphic designer		
1129	Senior infrastructure engineer		
1036	Senior interaction designer		
1074	Senior IT service manager		
1083	Senior operations analyst		
1124	Senior performance analyst		
1016	Senior product manager		
1143	Senior QAT analyst		
1042	Senior service designer		
1087	Senior service desk analyst		
1116	Senior technical architect		
1147	Senior test engineer		
1051	Senior user research		
1095	Service acceptance analyst		
1043	Service designer		
1088	Service desk analyst		
1086	Service desk manager		
1013	Service owner		
1094	Service readiness analyst		
1093	Service transition manager		
1002	Specialist infrastructure engineer		
1001	Specialist technical architect		
1117	Technical architect		
1027	Technical writer		
1148	Test engineer		
1141	Test manager		
1145	Tester (QAT)		
1149	Tester (test engineer)		
1057	Trainee data scientist		
1052	User researcher		